Regiones,Médicos asignados,enfermeros,obstétras,Población,Inversión salud,Inversión educación,Inversión transporte,dc en menores de 5 años,year
Amazonas,216,232,184,411043,80653312,224767437,560911730,0.268,2009
Ancash,689,687,401,1109849,252477237,1006407093,1505387044,0.282,2009
Apurimac,332,571,261,444202,183689578,286844673,136565071,0.348,2009
Arequipa,1450,1621,507,1205317,219437067,578699881,500132987,0.122,2009
Ayacucho,368,670,384,642972,166705752,427849469,275998007,0.414,2009
Cajamarca,507,754,438,1493159,240192526,768423936,495454204,0.398,2009
Callao,1327,1006,216,926788,270051263,335196886,361252787,,2009
Cuzco,763,972,394,1265827,275189023,869332087,1488615970,0.384,2009
Huancavelica,213,361,130,471720,113020286,365865905,162436956,0.536,2009
Huanuco,364,611,377,819578,150834081,383441582,304648978,0.392,2009
Ica,733,674,200,739087,224731420,438950581,229966040,0.103,2009
Junin,649,986,341,1292330,179439994,586549989,440237517,0.337,2009
La Libertad,1230,1184,383,1725075,248575364,641907866,426923671,0.272,2009
Lambayeque,881,920,326,1196655,156348604,379173311,172148129,0.182,2009
Lima,10637,9894,2061,8981440,3408680870,3665019991,2332264836,0.086,2009
Loreto,403,484,236,970918,194813160,512176421,119894122,0.291,2009
Madre de Dios,104,108,64,117981,48235084,77082838,714357430,0.125,2009
Moquegua,204,272,115,169365,84198231,190996458,220665073,0.051,2009
Pasco,202,252,115,290483,93070066,323651370,396082381,0.384,2009
Piura,878,789,420,1754791,195890491,684642291,422701460,0.23,2009
Puno,618,927,391,1340684,202590883,675341662,615519564,0.273,2009
San Martin,330,294,253,771021,113424653,314110385,346838853,0.282,2009
Tacna,318,463,174,315534,111178840,392191718,428335264,0.021,2009
Tumbes,156,131,89,218017,38305443,159153528,132711373,0.135,2009
Ucayali,232,325,146,458177,95056392,281947638,313492129,0.299,2009
