"Regiones","Médicos.asignados","enfermeros","obstétras","Población","Inversión.salud","Inversión.educación","Inversión.transporte","dc.en.menores.de.5.años","year"
"Amazonas",130,142,101,389700,53433252,160535309,262444819,0.374,2007
"Ancash",513,458,223,1039415,177064682,681870963,514579248,0.386,2007
"Apurimac",162,250,136,418882,87035959,203884362,48121551,0.417,2007
"Arequipa",1309,1360,391,1140810,209593072,438650098,203720504,0.124,2007
"Ayacucho",191,361,226,619338,108656918,324856735,138977394,0.422,2007
"Cajamarca",281,498,293,1359023,165425195,590836838,311323886,0.466,2007
"Callao",1060,733,148,810568,230151241,279523792,90621854,NA,2007
"Cuzco",483,742,232,1171503,210480507,634289499,574581090,0.369,2007
"Huancavelica",108,119,106,447054,63096804,244102586,137513685,0.592,2007
"Huanuco",238,407,199,730871,104224695,268546703,111390503,0.494,2007
"Ica",629,571,170,665592,133464007,387962100,74223649,0.13,2007
"Junin",444,773,214,1091619,152337338,442956084,242579626,0.319,2007
"La Libertad",943,790,276,1539774,188934944,474698151,203697657,0.312,2007
"Lambayeque",781,722,236,1091535,130217014,331545718,44392018,0.201,2007
"Lima",8789,6681,1591,7819436,2693586670,3199911394,1348565139,0.114,2007
"Loreto",274,213,81,884144,147267778,442139431,95724905,0.323,2007
"Madre de Dios",75,83,51,92024,30673554,62809708,102691758,0.157,2007
"Moquegua",169,216,104,159306,107118933,187370710,259059099,0.095,2007
"Pasco",141,188,76,266764,43725726,188337866,206839571,0.395,2007
"Piura",639,543,330,1630772,180801431,520262594,196718535,0.296,2007
"Puno",465,656,255,1245508,156870426,512489616,188650530,0.367,2007
"San Martin",223,188,178,669973,91487326,260875577,318915880,0.251,2007
"Tacna",245,270,90,274496,110175931,290155420,428651985,0.063,2007
"Tumbes",100,111,71,191713,33656224,143530602,144941456,0.122,2007
"Ucayali",169,256,102,402445,71103581,220357851,222902629,0.305,2007
"Amazonas",187,165,100,419550,102980370,204833755,354208060,0.337,2008
"Ancash",615,668,224,1122426,280144525,1100933117,1132349490,0.369,2008
"Apurimac",231,361,137,447897,177139556,256991513,111987356,0.436,2008
"Arequipa",1176,1367,394,1201788,209263969,574082860,428185073,0.09,2008
"Ayacucho",305,466,225,667336,190985048,404072027,191392430,0.403,2008
"Cajamarca",379,602,292,1485432,295232196,711720551,411164630,0.459,2008
"Callao",1145,976,138,909395,229249686,317510668,498355881,NA,2008
"Cuzco",742,920,232,1241433,303031365,822618526,786225915,0.329,2008
"Huancavelica",360,328,106,487014,171873256,343479650,147064046,0.566,2008
"Huanuco",385,552,200,812312,222152188,375930360,206990304,0.488,2008
"Ica",697,698,168,742944,203026681,482615497,131093246,0.138,2008
"Junin",501,859,214,1299334,211304814,582685992,316310978,0.289,2008
"La Libertad",1030,810,277,1698162,309751100,628128344,374188025,0.355,2008
"Lambayeque",750,850,237,1166497,144562144,395215504,110065139,0.202,2008
"Lima",7209,6529,1585,8742797,3037683589,3421067716,1781163573,0.119,2008
"Loreto",334,421,80,990662,194465081,491273917,101224098,0.285,2008
"Madre de Dios",89,98,48,115158,50642076,73488346,230746444,0.163,2008
"Moquegua",176,216,105,168930,70173760,216480277,237745917,0.086,2008
"Pasco",116,184,77,296305,80625669,374655651,346747276,0.413,2008
"Piura",602,541,331,1761334,222941432,628960890,300904629,0.283,2008
"Puno",431,661,354,1347499,231922303,637710794,368655397,0.377,2008
"San Martin",283,263,178,768989,118413342,314780652,388931852,0.23,2008
"Tacna",185,251,90,301093,89804514,403885362,504554928,0.068,2008
"Tumbes",121,110,72,208901,37995723,164719092,180268861,0.126,2008
"Ucayali",199,254,102,453856,91305776,274741850,292327705,0.324,2008
"Amazonas",216,232,184,411043,80653312,224767437,560911730,0.268,2009
"Ancash",689,687,401,1109849,252477237,1006407093,1505387044,0.282,2009
"Apurimac",332,571,261,444202,183689578,286844673,136565071,0.348,2009
"Arequipa",1450,1621,507,1205317,219437067,578699881,500132987,0.122,2009
"Ayacucho",368,670,384,642972,166705752,427849469,275998007,0.414,2009
"Cajamarca",507,754,438,1493159,240192526,768423936,495454204,0.398,2009
"Callao",1327,1006,216,926788,270051263,335196886,361252787,NA,2009
"Cuzco",763,972,394,1265827,275189023,869332087,1488615970,0.384,2009
"Huancavelica",213,361,130,471720,113020286,365865905,162436956,0.536,2009
"Huanuco",364,611,377,819578,150834081,383441582,304648978,0.392,2009
"Ica",733,674,200,739087,224731420,438950581,229966040,0.103,2009
"Junin",649,986,341,1292330,179439994,586549989,440237517,0.337,2009
"La Libertad",1230,1184,383,1725075,248575364,641907866,426923671,0.272,2009
"Lambayeque",881,920,326,1196655,156348604,379173311,172148129,0.182,2009
"Lima",10637,9894,2061,8981440,3408680870,3665019991,2332264836,0.086,2009
"Loreto",403,484,236,970918,194813160,512176421,119894122,0.291,2009
"Madre de Dios",104,108,64,117981,48235084,77082838,714357430,0.125,2009
"Moquegua",204,272,115,169365,84198231,190996458,220665073,0.051,2009
"Pasco",202,252,115,290483,93070066,323651370,396082381,0.384,2009
"Piura",878,789,420,1754791,195890491,684642291,422701460,0.23,2009
"Puno",618,927,391,1340684,202590883,675341662,615519564,0.273,2009
"San Martin",330,294,253,771021,113424653,314110385,346838853,0.282,2009
"Tacna",318,463,174,315534,111178840,392191718,428335264,0.021,2009
"Tumbes",156,131,89,218017,38305443,159153528,132711373,0.135,2009
"Ucayali",232,325,146,458177,95056392,281947638,313492129,0.299,2009
"Amazonas",261,330,209,415466,113200220,233959361,490264374,0.252,2010
"Ancash",666,794,424,1122792,510034683,915322992,1250288229,0.286,2010
"Apurimac",649,684,299,449365,234206138,336040896,451529270,0.386,2010
"Arequipa",1553,1773,518,1231553,250851835,543321109,628629080,0.123,2010
"Ayacucho",375,879,497,658400,271320799,475504242,292044094,0.388,2010
"Cajamarca",523,969,497,1507486,314815801,748056769,601623982,0.405,2010
"Callao",1414,981,227,955385,257275848,334358036,804241067,NA,2010
"Cuzco",847,1134,441,1283540,314040683,918293311,2366925423,0.354,2010
"Huancavelica",275,592,315,479641,169849768,450020408,175625170,0.546,2010
"Huanuco",416,800,427,834054,186562858,443112223,242953155,0.374,2010
"Ica",767,685,215,755508,277965933,439787143,234533486,0.103,2010
"Junin",667,1103,394,1311584,222415803,556789586,438706935,0.304,2010
"La Libertad",1263,1345,432,1769181,296816674,721761035,538630746,0.261,2010
"Lambayeque",938,1046,396,1218492,198926129,428613240,220687551,0.178,2010
"Lima",11798,10458,2248,9252401,3318356175,3733486551,3066274202,0.089,2010
"Loreto",380,541,239,995355,198279048,570067982,119838812,0.31,2010
"Madre de Dios",121,153,79,124404,42412361,85794883,304971201,0.119,2010
"Moquegua",177,256,108,172995,78875814,246629801,315123800,0.057,2010
"Pasco",207,345,166,295315,69272164,323282187,265936419,0.326,2010
"Piura",881,871,489,178451,220515684,710498454,409828674,0.229,2010
"Puno",637,1205,451,1364752,314832084,690789849,659385267,0.255,2010
"San Martin",365,393,307,794730,125755923,324434533,286663689,0.268,2010
"Tacna",321,458,162,324498,128324894,279913557,309008460,0.03,2010
"Tumbes",140,144,106,224895,154591208,152790928,137597795,0.128,2010
"Ucayali",239,354,165,471351,107467114,297777264,213338297,0.316,2010
"Amazonas",261,330,209,417508,139281353,276907639,604676653,0.275,2011
"Ancash",666,794,424,1129391,329333172,1014944631,1001381923,0.27,2011
"Apurimac",349,684,299,451881,269302532,349103282,398752565,0.393,2011
"Arequipa",1553,1773,518,1245251,280507131,580946317,679861415,0.09,2011
"Ayacucho",375,879,497,666029,282579035,502967097,763899261,0.353,2011
"Cajamarca",523,969,497,1513892,303185553,870450519,1019757399,0.376,2011
"Callao",1414,981,227,969170,292507161,417736984,1201109646,NA,2011
"Cuzco",847,1134,441,1292175,429619704,1162042758,1460003595,0.299,2011
"Huancavelica",275,522,315,483580,174393610,422617367,268961564,0.542,2011
"Huanuco",416,800,427,840984,226236818,519835027,328076927,0.343,2011
"Ica",767,685,215,763558,325726667,444913333,325297479,0.089,2011
"Junin",667,1103,394,1321407,272393096,638544537,618572921,0.267,2011
"La Libertad",1263,1345,432,1791659,341387276,809190773,526030292,0.232,2011
"Lambayeque",938,1046,396,1229260,237501914,472070544,277476031,0.162,2011
"Lima",11798,10458,2248,9395149,4120643977,3689203641,3136032993,0.08,2011
"Loreto",380,541,239,1006953,260888136,627614922,194606122,0.342,2011
"Madre de Dios",121,153,79,127639,61038373,112297934,273478725,0.119,2011
"Moquegua",177,256,108,174859,67890729,262598837,167892792,0.057,2011
"Pasco",207,345,166,297591,106085357,328168693,282470437,0.248,2011
"Piura",881,871,489,1799607,270053885,765073956,379513295,0.209,2011
"Puno",637,1205,451,1377122,374799342,821774545,1142905178,0.215,2011
"San Martin",365,393,307,806452,172430547,385819694,278395038,0.228,2011
"Tacna",321,458,162,328915,127266798,238670315,280188422,0.037,2011
"Tumbes",140,144,106,228227,121278134,194496216,164889446,0.11,2011
"Ucayali",239,354,165,477616,132626660,324179318,128709740,0.314,2011
"Amazonas",290,405,275,419404,172613265,314978901,423598453,0.292,2012
"Ancash",715,899,457,1135962,321355737,999837273,788476179,0.247,2012
"Apurimac",434,848,398,454324,262324793,367397382,411053663,0.322,2012
"Arequipa",1679,1898,598,1259162,322261882,724246757,683875602,0.073,2012
"Ayacucho",443,940,541,673609,297943857,685902914,964233624,0.295,2012
"Cajamarca",649,1155,588,1519764,361294249,927620242,1363469430,0.342,2012
"Callao",1682,1373,257,982800,409061126,419994428,726077252,NA,2012
"Cuzco",991,1318,568,1300609,544655162,1248523695,1617385662,0.243,2012
"Huancavelica",362,633,404,487472,230528458,449344301,423149728,0.502,2012
"Huanuco",391,757,391,847714,275013924,678143090,388161841,0.309,2012
"Ica",811,766,245,771507,243753960,441775432,329572725,0.077,2012
"Junin",746,1269,503,1331253,349907740,647077804,574762854,0.244,2012
"La Libertad",1422,1491,634,1814276,402207616,931723966,531720347,0.21,2012
"Lambayeque",1005,1155,430,1239882,201178596,496811544,224307512,0.14,2012
"Lima",12733,11632,2368,9540996,4460828057,4655170582,3595438255,0.063,2012
"Loreto",455,626,322,1018160,288731864,630827865,331391372,0.323,2012
"Madre de Dios",156,180,108,130876,66382647,122540690,319136131,0.121,2012
"Moquegua",203,292,128,176736,104098116,210333728,274958481,0.044,2012
"Pasco",276,342,186,299807,109132991,362551172,246619486,0.26,2012
"Piura",948,975,607,1814622,330785320,826194148,577918110,0.217,2012
"Puno",758,1276,490,1389684,411896848,906045566,855013087,0.2,2012
"San Martin",415,449,377,818061,208999508,498287155,439327760,0.168,2012
"Tacna",762,506,192,333276,139562027,267407600,342157408,0.031,2012
"Tumbes",171,172,116,231480,136706723,257460229,134292123,0.101,2012
"Ucayali",281,457,226,483708,145563184,368059174,152143098,0.247,2012
"Amazonas",297,422,275,421122,164822519,326937715,496379393,0.271,2013
"Ancash",716,904,457,1142409,352738814,999685657,614390659,0.22,2013
"Apurimac",440,861,398,456652,294097982,456433798,516936666,0.29,2013
"Arequipa",1681,1985,593,1273180,373293119,810567617,1183174166,0.087,2013
"Ayacucho",444,937,541,681149,345097008,847517078,1015187885,0.28,2013
"Cajamarca",650,1160,586,1525064,491808334,1068524771,1327610129,0.356,2013
"Callao",1673,1398,256,996455,411145246,405979220,621836764,NA,2013
"Cuzco",992,1390,567,1308806,605493081,1418384249,1876399339,0.2,2013
"Huancavelica",367,645,406,491278,252333969,455041103,298623882,0.424,2013
"Huanuco",399,765,392,854234,367122530,664469604,299386834,0.29,2013
"Ica",794,765,243,779372,313700881,525506971,298000638,0.077,2013
"Junin",751,1322,504,1341064,397696874,749022823,662618804,0.242,2013
"La Libertad",1431,1518,643,1836960,468972694,1053281448,733896851,0.221,2013
"Lambayeque",987,1148,422,1250349,283053821,565035591,213665769,0.142,2013
"Lima",13177,12224,2407,9689011,4931427601,4984517579,2720523485,0.051,2013
"Loreto",471,690,323,1028968,335998418,699872827,329676720,0.277,2013
"Madre de Dios",158,185,112,134105,73447604,151866865,455624586,0.116,2013
"Moquegua",204,315,126,178612,133514264,241013435,230492391,0.041,2013
"Pasco",287,353,190,301988,119657469,331088644,300702830,0.265,2013
"Piura",957,997,608,1829496,397882773,995486285,576092152,0.249,2013
"Puno",759,1326,491,1402496,422485415,1057766752,949755859,0.19,2013
"San Martin",421,473,378,829520,327671955,545262644,592146915,0.155,2013
"Tacna",361,591,193,337583,148378747,254881254,262823379,0.029,2013
"Tumbes",171,187,116,234638,103383058,246167581,111449359,0.091,2013
"Ucayali",283,466,226,489664,163394982,355129344,273627113,0.245,2013
